nohaaa,2a5eraaan
w ana edet le nfsy w loh wa3d ene as3do,3shan howa shaf kter 7ata 2abl ma ye3rfny
w kan 3ayz yetgwez 3shan yefr7,"Hoa f3lan rbna leh 7kma w a5tar ma7mod bel zat f el mawkf da l2no y2dr 3alih w l2n wgoda hnak 7aysa3dk enty sha5sian , w ento el 2 test72o tfr7o"
w howa asln ensan bgd msa 3aleh,W zay ma b2olk sob7an Allah ymkn el mawdo3 da arbko aktr w 5la benko rabt gded
ya mohawen,aked tb3an
w howa kan dyman byz33li w ye2sa 3alya lw medya2,delwa2ty ba2a ahda
w fahm 7agat kter lma da7'l betna,w 2da m3ana ayam twela fe 3ez elazma
ana sure en lw kan odmna million e7'tyar kona 7n7'tar ale 7asl,3shan da a7sn 7aga
F kol azma fe 7d bymsk ayd 7d w y3deh mnha el 7amdolelah en ento 7at3do b3d mn el m7na de,Belzabt wlahy w n3ma b Allah f3lan
w kaman bgd kol mara kont ahh ba2ol kolna 7anmot w el mot mesh ba3ed,bs el mara de bgd..mn gwaya awe ayqnt bl 7a2e2a de
Isa rbna 7yhwn 3aliko kolko w e7na b mo5na el baset 7nfhm el 7kma f yomm n el ayam mn kol 7aga bt7sl lw 2drna nfhmha,w ba2et afkr ana odam rbna 73ml eh w el nas 7tftkrny beh ba3d ma amot isa
Enty tb3an 3arfa el 7ades bta3 lw ragel 3ndo bnat w a7sn trbethom,wallhy eftkrt el 7ewar da
W rbna sob7anoh a5tar 3mo f3lan lma 5ls rsalto tmaman 3shan ybd2 7aia f mkan la y5tor 3la kllb bshr b3d ma 5ls doro 3 el ard,ya rab
wallhy fadl baba mbnsh 3'er b3d wafato,7asena en bgd mesh na2sna 7aga el 7amdo lrallah
w sa3dna kolna l7d ma etgwezna nas kowyesa el 7amdo leallah,w et3lmna w etfwaqna
w rabna 3ala 7agat 7elwa w 7'alana n7b el nas bgd,w sa3dtna mn sa3dthom
Yala ana 7aro7 a2ra l 3mo swret yasin,:)
rbna m3aki w mshofkesh fe 7aga we7sha abdn,salam
Bosy el re7la nafsha lel frd momkn 3000 aw 3200 mthlan,Y3ni lw mwaslat w akl w tickets bs msh 7atb2a over talma msh 7at3mly shopping
Esnty kda w arod 3aliki,20 lira x 7 ayam = 140
"El akl 15 l 25 lira f el yom 7sb gwdt el mt3m w 7taklo kam wagba ana sha5sian kont bakol mra wa7da mn ay m7l shawrma aw 7aga w bshrb tol el yom w momkn a7ly b 7aga belyl , f lw 2olna mtwst 20 lira x sha5sen x 7 days = 280",L7d now 600 lira x 4 gneh = 2400 y3ni w tb3an ta5do m3ako extra
Enty lw nawety 2olely w 7a2olk tgeby kol 7aga mnen w tro7y fen kol yom,Ana nzlt f 7ta esmha aksray bs sra7a lw nzlty taksim yb2a a7san 3shan btshr bs taksim btb2a a3'la
Aiwa keep doing that u will gain nothing if u went to a dark place,W am sure 3mo Allah yr7mo bgd 7yrta7 yom el 5ames after u get married
W enty bt2sesy new life lazm to do ur best enk t5leha 7elwa,M7dsh mna 3arf gwaky eh w ely bt3mleh da shaga3a kbera f3lan
Ana fakra en lma tita matet 23dt a2ra 3n 7iat el brz5 ely hia ben el mot w el b3s,W mn sa3tha w ana b7sd ay 7d bymot
T5ayly asrar el kon kolha btnft7 lehom by3rfo mntk el 7iwanat w lo3'thom 7ta ay lo3'a 3 el ard by3rfoha,W mahma arena f3lan ma la y5tor 3la klb bshr w f3lan bel nsba lihom el wa2t da kolo byb2a mogrd sa3a
W f3lan do3a2na bywslhom w ana kont b2ra l tita w 3my el fat7a b3d kol sala w en2t3t gatly tita f el 7lm ka2nha btfkrny,Wlahy hdytk lih tkony a7sn ansan t2dry tkoneh l7d ma rbna ygm3ko 3la 5er
El 7amdolelah w el 7amdolelah eno adr y5ls rsalto msh kol el nas kda,Slam
relaaaaa wa7shteneee,:))))
Msh 3arfa a2ol 7aga,Wa7shtny kteeeeer
7oda el zog 3aiz y2ol eh l 7oda el 5ateb ?,:)
yareeet bgd,3ayza ashofek gedn gedn wallhy
konty mnwarany bgd,:) isa ana 73od m3 mama elesbo3 ale gay isa
72olek tege w m3aki el swoer mama 7tfr7 awe beha,"I was so flattered aslan eny mawgoda , wlahy i feel enko my sisters f3lan w en 3li w 7sen my nephews"
bgd?,geran fen ? fe fesl wala myami?
heya 3rftna mnen asln :D,Estny brb
tyt,Ezayk ya bet
Ektshft ambar7 en sa7bty t3rf ma7moud kano geran w hia ely sa2ltny 3aliko 3amlen eh,3agmy ?!
tab w heya shaft sortna fen?,esmha eman?
tab w heya 3rftny mnen :D,ana 3ayza el tafasel :D
Looool y3ni eh eshm3na eman,Y5rb betk
esmha eman?,W e5watha esmohm m7md w marwa
eman sa7btk enty w shaza?,:)
La2 5als de dof3ty mn el kolia,Bs est3'rbt awy enha t3rfk
w ana :$,Sob7an Allah el nas kolha connected
mashy,aked 3arftny mn rl fb
Bosy hia eman zman kant f 3gmy,La2  de bts2lny enty t3rfy omnia ely mtgwza ma7mod ?
F 2oltlha ah 2altly w homa 3amlen eh de mama et2srt awy asl ma7mod da garna mn zman w kda,Ask ma7mod b2a
heey :),w enty tyba ya 7abebty :(
:),Kol sna wnty tayba
ba2ol le 7ussen rel fen?,2ali leeeem la7et 3and mai w 3amo karel
?,Kda na2s el vedio bs el flasha bta3ty 2 G bs
el moshkila ene 7asa en kan shkli we7sh :(,3ala mhlek :)
La2 wlahy konty gamela gdaaan,w swrk lw7dk gamila bs el camera makntsh mtzbta m3 el eda2a w el nas msh btsbor l7d ma azbt el swra
yes sa7,bt3mli eh now?
:),Enty 3amla eh ?
batbo7',:D
w regli warmt mn el wa2fa gedn fa 23da raf3aha shewaya,:)
A5bar el akl eh tyb bytl3 7elw ?,de awel mara fe 7yaty sa3dtk
w batbo7'ha 3and mama,msa23a
w batates boreh,3shan a7'odhom m3aya el qahera
isa,Eh da de 7agat s3ba
Konty bd2ty b el fra5 el baneh,W el btats el m7mra
bzabt :(,da raheeeb
Heehheee,w fad7ny 3and ay 7d yeshofo
enty mraw7a mnen ya bet?,Ya bnty koys 3la el a2l msh by3rf ykdb
Hehheheh kan 3ndy course w b3den ro7t ashof acasia feha sala wla l2 mal2tsh w wslna rowida w mrwa7a,:D
lewa7dk?,:)
:),hehehhe saye3 enta ya man
ma agmalek :D,w a3batek :D
:),kont habla habla ya3ny :D
Omal lma as2l b3d sana,:)
7ttshm bardo,3ady
:),Isa ashofk lma agy tany
allah ma3kii,isa :)
salam ya 7obyyy,salaaam
:),Ya 5lasy b7b tary2t klamo gdan
Nfsy yfdl kda baby,3gbk el swr
:),Bt3mly eh y3ni ?
:),:)
Married omnia t7b t2ol eh l omnia ely kant btl3b f el 7osh ?,Hehehhe
7osh b2a el bnt ba2t wa3ia w md2d2a,At last wslt
:),Amiiiiraaaa
Allah ahlan washln beke :),3amla eh?
aho el7amdo leallah,W7shaniiii b2a bgd
m3lash wallhy ana kol yomen fe balad,3amala asafer
w entu wallhy,Bgd ! .. Rbna m3aki :)
Mashi leki 3ozrek elmra de bas b2a :@,:)
:)),bt3mli eh fe ramdan ba2a?
hehehhe kolnaaa!!,"Shofy !
Kant n2sa gnan kman :D"
hehehheeeeee,mabrok 3aleke
aked mslyaki,:)
Tyeb,Looool
Bgd eb2y tmneni 3leki b2a ... Mashi,mshy ya 7abebt 2alby :)
<3,:)
Salam ya 2mryy,:)
"el7 tmm 
enty eh a5barek ?",:)
Bnam w a5er tnbla asln !,:)
E7kely 3la el 7elm,kher alhom eg3lo 7'er 7almt be baba gah tany w 2alna eno lisa 3ayesh w 23d yems7 dmo3 mama w ye2olha mt3ytesh ana m3aki aho mtz3lesh
bs mklmnesh ana 7'ales :(,7atsli fen?
El mohm enk 7lmty beh,yes :) el7amdo leallah
7amdolelah,7asly f el bet el masg ely t7t el bet moftryyyy
:D,:D
:),:)
miss youuuu,Naniiiiiiiii
Miss u too,Isa nftar sawa el 7'ames
:),:)
dofooooo,dodooo
Wa7shtenxyy,w enyyyy gedn
a7sn 7aga enk gety 3ala elbta3 da,7abebtyyyy
:),A7la 7aga elbeta3
Bas Ana haftar delwa2tyy,Wa Agelek tany
walla so2al wala gwab ya 2lbk,:)
llaa laa wala yhmk,ana 3arfa kaman Ramdan wa2to mesh msa3ed
:),bs ya 3abita
ra7t 3alya,:)
Hehehhehe,aweeeee aweeee
:),ahhh tab3an
heheee,da howa basli b2rf w 2ali thnx 3ala eh
:),W gaia f baly wlahy el yomen ely fato bs el kahrba de 3amlaly wash 3la tol el mobile fasl w el donia ml5bta
Y3ni nb2 ndwr l ma7mod 3la 3arosa,:)
:),:)
dodoo,wa7shteneee ya 7oby bgd
ana el7amdo leallah,7aba keda w 7aba keda
ana 3and mama now,el7amdo leallah
allah ye7'leke,howa fe cairo ana basfrlo
lkn 73od m3 mama 3shan heya 7tb2a lwa7dha,ahh el7amdo leallah
bs m7'tmsh :(,enty 3andk masged henak?
ahaa,gozek bysali ya do7?
rabna m3aki w m3ah ana 3arfa enha 7aga s3ba awe,w kaman fl3'orb
w 7amaki 3amel m3aki eh?,:D
tab 2afly 3ala el mawdo3,babaki w mamatk 3amlen eh?
w bt2ady yomek ezay a7sn ana yomy byb2a tawel 3alaya awe,aha
ahm 7aga howa kowys m3aki?,w 3aref 2emtk bgd wala eh?
tab el7amdo leallah,rbna yehade serkom
el7amdo leallah bs ana asln mesh bshofo kter :),tol elwa2t bnsafer
w shylen elham,w stress sho3'lo
w elsho3'l byklmoh fe ay wa2t sob7 w lel,el7amdo leallh howa tayb w 3'lban
bs lma byz3l by2ol kalam we7sh awe..w ana b7s en aboya mat f3lan,fa dyman mesh b3raf afr7 w lw far7t mama bto3od t2oli enty mesh za3lana 3ala baba?
mesh b3raf a3ml eh fe 7yaty wallhy,aked
rbn yehwen ya dodo :),w enty kaman efr7y bgd
akeed,ya rab
7'ale balak 3ala nfsk ya 7abebty,w eb3tele ay wa2t brdo :)
7tbst bgd :),Ya monmon
Wa7shtenyy,Walahyy wa Enzym
Entyy,Kan nefsyy akon ma3akyy
Tamneny 3alekyy,Wa tant wa e5watek
Gozek safer sa7,Allah Ya2awko ya 7abebtyy
Ah,Ayoa fahmakyy
Salety eltarwr7,El7amdolelah
Wa Ana kaman,:)
Rabena yesame7na,Akeddd
Bas be3ed 3any shoaya,Bay7aeel ya Omnia wa ana bad3elohh
El7ayah Hena sa3ba,Bas el7amdolelah
Ahhh,El7amdolelah walahyy
Aho A3ed ganbyyy,:)
Hehehehh,La el7amdolelah mashya el7al
Be5er Walahy el7amdolelah,Tamneny 3alekyy dayman
Kalmenyy fe ayyyy wa2t,Ana Hena 3ala tool
Ana 3andyy esbo3 3'er esbo3,7sab sho3'l 3ammar
Ba3mel elro5sa,Badhta3'al sa3at
3andy shoayet so7ab wa nett dayman,El7amdolelahhh
Aked kolman3esh ma3 ba3d Kol ma bne3raf ba3d,Wa fe3lan fe far2
2olely enty mabsota ma3 ma7mod,Amen
:),Abdan
Aham 7aga yekon koayesa ma3akyy,Ahh walahyy 3arfa ele7sas dah
Sa3b awyy,Sho3'l 3ammar kedah Damian
Ya 7abebtyy la matz3aleshh,Kolena Lama benez3al benkon wa7shen
Wa aked tant mawgo3a awyyy,Fasa3b 3alehaa
Wa ma2olte el teator wa elsafar toll elea2t sa3baa,Esboryy ya monmon
Wa ed3yyy kterrrrr,Wa efra7yy
Bas matbayeneshh latant,3ala ad mate2daryy
3ashan aked Haa 7asasa dalwa2tyy,Rabena yefara7 elkoll
Wa yeb3ed ay 7ozn wa yehawen,Wa entyyy
:),Aked ya 7 abebtyy
:),Mesh ayyyy
<media omitted>,Kol Sana wa enty be2alf se7a wa 5er ya 7abebtyy
<media omitted>,allaaaah shokraaan
:),:)
ahhhh da gamed gedn :D,laa wallhy ya okhty da ana 3'albana
:D,La2eit mosel samsung esmo samsung omnia. Enty et3aqedty ma3a samsung men warana :)))
<media omitted>,:)
Ed3eeelyyyy,kalmtk kteer embare7 3shan atmn 3aleke awel ma t7'lsy kalmeneee
enty fen now?,ya bet rodyyy
yes ya bet mb embare7,3amlty eh 2day?
betu,ray7a le mama el sbt isa
w 7abat m3ha lel arb3 keda isa,ayea ma ana 3amala as2leeek
rab bosy kalmene awel ma tnzli,3shan el wireless bys7b elsh7n
Ma3lsh malh2tsh aroood,Msh haa3rf aroood nw ashan ana fl bus
Hwa enty f alex,Ya ragwl
Ad tant wlaa f betk,Roht el sobh el interview
Msh aarfa amalt helw wla laaa,Hya altly arafy nfsk in english
Di ok,Tyb ok
Ana f mahram beeh nw,Tyb mashy hklmk amaa anzll
:),:)
:),:)
:),:)
:),:)
:),:)
:),:)
:),:)
:),:)
:),:)
:),:)
:),:)
:),:)
:),:)
:),:)
:),:)
<media omitted>,<media omitted>
<media omitted>,<media omitted>
<media omitted>,<media omitted>
<media omitted>,Allah bgd?
rabn yogbor b7'atrek :D,7elw el kalam da
sya3a mashyy :D,ah harbana mn ahli m3 elwad bta3y w sheleto
bn2ady yomeeen :D,Ew3aaa el footaaa
Helween awii msA,Shaklkooo 2 msh mtgwzeeen
:),Hehe
Shklko msh gayeb alaa gawaaz khales,:)
:),El waad w sheletoo kmaan
Di syaa3aa alaa 7a2,mohaa
mohaaaa,saba7 elkher
kalmty el iti?,tayeb
kalmt heba embare7,2atli momken nro7 rostray wala 7aga bokra isa
:D,yareeet w ana wallhy bgd
lw fe3lan bl3arabeya kan mashy,bs mwaslat ma7moud 7ybhdlni
3shan mesh 3ayzni at3ab,tayeb rostray ba2a w akl w keda :D
ana ba7eb elakl awe :D,lisa
72olha lma ashofha isa,Hey sabaah el noor
Aamlaa eh,Aha bs lsa
Aly kalmena ala el khamees isa,Ashan kan lsa fu interviews makhlsetsh
Bgd ya reeeeeet,Lw kan maaya el car kona rohna makaan tany
Nfsy asee3 awyy,Aha ma ana kmaan mab2tsh b7b mwaslaat
Asln ana bb2a mfysa khel2a,Aywaaa piece wahshny gsn asln
Hehe enty bd2tyyyyy,Enty lsa m2oltesh lnheba sa7 ashan msyaahsh
Isa,<media omitted>
:),:)
raw7ty?,isa
Roht fen,Laa lsa
Hrwaaah 6,mohaa
ya mahaa ya zeftaaa,mesh btrody 3alyaaa leeeh
:(,ana 2olt el 7ob ale ma bena ra7 wala eh
w mesh btrody :(,wala heba btrod
mmmmm,zah2an :(
w enty?,ana embare7 nmt mn el zah2 10.30
ma7moud fad7ny enhrda,fe wa7da tseb gozha w tnam
wala 7ata tshry m3h 3ala el phone,ana ro7t zort baba 2day
ah,awl mra fe 7yaty asln a3mlha
3amod,w shoft gdo w teta hanem
ya rb,tro7y t7sy en el donya kolha mayeta
laa m3 3amy tarek,ma tege n3ml 7aga mo7'talefa
ana 2rfana awe :(,nl3b as2ela :D
<media omitted>,:D
yala es2li,mmm..ene lisa m722tsh 7aga fe 7yaty
el estqrar,a3od fe bety m3 gozy w msfrsh..w abtdy asht3'l tany
yaret,ma7moud safer mn 3'er lebs ma3'sol
lene asln m3'sltlosh 7aga,howa 7ases eno asln mesh mtgwez
wala 7ata akl,w el bet mesh ndef
bzbt,fe3lan ana kaman 7asa ene mtgweztsh
w t3bt mn el wad3,bs mesh b2edy 7aga
w kol ale yeshofny ye2oli e3od m3 mamtk mtsbhash,w est7ala 7ad ye2ol keda le mama
le mI,mai
de now bt2oli ana 73od fatra ba2a ma gesh 3shan 7aram sebt karem lewa7do kter,laa de heya nfsha tsafer isa
heya et7'n2t awe mn el23da,7azem 3mel eh?
3amel eh?,:)
yala 2omy sali w namy,emta momken t7sy enk sa3eda?
mm,aked kolnaaa
isa t7sy be keda,lw fe3lan la2ety 7ad yefhmk bgd
aked tab3an,yaaaah
de 7aga mohema awe fe3lan,leh ya3ny
kolna bashr w kolna bn7tag le b3d bgd,tab ma ana m2drsh ast3'na 3ank :)
mesh fhma 7aga,ahh
el bta3 kalmk,fokek
ya3ny 7annzl bokra wala eh isa?,:(
tab w ba3den,ana bl2eha online 3ala elwatsapp w mesh btrod brdo
:D,laa laa bokra isa nklmha 3la el mob tany
ana mt3'aza mnha 3shan msh btrod,Aywaaa walaahy ma shoft el msg
Lsa shayfaha nw walahy,Fi eh
Malk,ASL KNT BSTHMA W BAKOL
HEBA BTST3BT,MN embarh msh aarfa aklmhaa
W klmtha sobh mardetsh w ba3d el 3asr kalmtha cancelt,Bt3mlyy eh
A3da m3 ahlyy w zah2ana shakly hasaly w atkhmed,Leeh
:),Hehehe
Bgd,Di awl mara troohy
Entoo madafen fel 3amood wla manara,Rbnaa yrhamooo y rb
Rohtty m3 tant tb3n,Ahaa
Ne3ml eh,Mmm ok yalaa benaa
:),Mmm
Hasa b eh nw,Eh el haga elli nfsk te722eha
Shayfa enk mmkn te722eh ezay,Akeed hyt722 isa
Fal7aaa,:((
Mahoo ashan enty msh a3daa maaha,Wala a3da fi hta asln
mashy tsb7y 3ala kher,Akeed tb3n la b  2edk wla edo
Hwa el tabe3y enty esboo3 w hya esbooo3,kolnaaa :))
fakry fe 7agat 7elwa,w try t2ry 7aga 7elwa
w lma isa ek 3edda tkhlas mamtk tsaferloko brdo,M3 enha mmkn matrdhaash
Kan ba3tly ala rb embareh,Kwayes el hmdo lellah
La shwaya kda,W b3den es2leny anaa b2a
Msh aarfaa,Khayfa a2ol hb2a sa3eda lw habeet w mb2ash
Bs ana ayza a7s bl aman,Ayza atamen
Aked,Ana waska fi rbna eno msh hysebny abdn
Ana aayza had yhbny zay ma ana kda b 3yooby w akhtaa2y,Ana nfsy fi had my2drsh ystghnaa any
Khyalyy wese3,Was3a di shwayaaa
:),Ensory
Sorrt dost ghalaat,Enty kalmtwny nw
W ana dost ghalaat,Ahaa
Ok,Msh aarfa
Ana ok,:)))
Msh aarfa b2a,El mshkla eny mksla a2om aklmha fel beet
:s,Aywa b2a ana ayza anzlll maako
Ana hnaam,Lw waslty l heba w etf2oo ala haga eb3teky hna 2oleely
Yaaaa rb,Nfsy ahlm helm helw
La afakr ashl mn a2raaa :),mohaaaa
awyaaan,<media omitted>
<media omitted>,:D
shr3 rabna Allah,<media omitted>
<media omitted>,:D
a7'er wa7da de fl mo2atam,722t 7elmyyy a7'ern w ro7to m3 ale ba7eboo
Alo alo,Opaaa b2aaaaaa
Bozty 5ales ya omniaaaa,:)
Tb wl mabde2 tyb,Gamilaaaaaaa
:),:)
:),:)
:),Sank uuu bbe
haaaw,tawq3t :D
asln ba3tlha ene 7agztlha wala 7ata radt,:)
Bkh,:)
Aamla eh,Heba msh gayaaa blacktema
W ana kman sa3ethaa ba3tlhaaa,Bs lsa radda alya nw
dodiooo,:)
:),:)
:),:)
:),:)
:),:)
:),:)
:),:)
:),:)
:),:)
:),:)
:),:)
:),:)
:),:)
:),:)
:),:)
:),:)
:),:)
:),:)
:),:)
el bet shaza ale mytblsh fe bo2ha fola,2altlk 7aga 3alya :D
:),:)
:),:)
:),:)
asl ana 3arfaha :D,ya she7'a
bzmtk m2ltlkesh?,:D
tayeb ya sty,fe nono so3'ann byslm 3aleke
el sra7a ana 2oltha mt2olsh l7d,:D
:D,da ana da7'la el rabe3 sa3dtk isa :D
el shhr ale gay isA,3ayzen asamy 7elwa :D
:( msr kolha bt2ol keda,Loooool
La2,Etgwzty tany wla eh
Hehehhee,Hia kol ely bt2olo mn shahr 3aiza ashof el bnt nanny
A2olha omnia 3amla eh t2oly mashofthash,Ma t2oly enty tyb ! Bdl ma as2lha omnia 3aizaky t2olely eh
:),:)
Ya kalbaaaa kda a5rteny f shera el al3ab,W e5tiar el asamy
:),Y3ni 3rfty wld wla bnt ?!!
Lw 3rfty mat2olesh 5leny a5mn,Ana 7asa eno boy
Heheheheh 3arfa leh 3shan y3zbk m3 ma7mod,:D
bgd rbna yostor,da lw tal3 walad shbho
ana 7nt7r,mtno2esh feha ba2aaa
:D,isa ageb mnt w a3'ezk ya moftreyaaa
:(,enty we7sha :(
de asraaaarr,w eh ya3ny kont ba7eb al3b fl fos7a
3ady ya3ny,:)
Kda b2a 3ndy my own football team 3ali w 7seen w ze2rd afndy,Bosy ya omnia lw kant bnt 7atb2a motshrda bardo enty nsety ur history
Ya bnty el bnat ely f dma3'k dol enkrdo mn zman ro7y el mdars shofy bnat e3dady shaklhom eh,E32ly kda w haty wld
:),:D
ya lahwyyy,bgd ana 7'yfa gdn
sarah,:)
:),:)
:),:)
:),:)
moha enty here?,3amla eh?
el 7amdo leallah fe cairo now :(,w kalmona es7ab ma7moud lma kona 3ala bawabt cairo by2ololna 3andna fara7 el talat isa
w ana m3esh ay 7aga tnf3 aro7 beha :(,eday2t aweeee
w mai asln fe alex,7ageb 7aga simple enhrda isa
aw karim goz mai 7ygebli 7aga mn dolab mai,rabna yeshl
bosy,tika m2lsh 7aga le ma7moud
2alo bs ana 7asly est7'ara 3shan lisa msltsh,Ana hna aamla eh
3shan kaman mzlmsh 7ad m3aya,enty asln kan eh entba3k 3ano?
Bgd safertyyy,Eh daa tyb q ht3mlyy eh
Aywaa knt h2olk 2oly l kareem,khalas yeb2a kolna nsebha le rbna
ana wallhy 7asa en fe ay mawdo3 lazem el tarfen yeb2o le wa7dhom khales,nshof bs howa 7y2ol eh howa lisa m2lsh 7aga
howa shklo rakez w mesh motsarr3,Walhy y omnia ana akeed saaleet estkhara  mn el awl aslnn
w kaman da 3ayez yetgwez fa howa asln by2ol le ma7moud da mawdo3 kber me7tag hedo2,Hwa entbaa3 awaaly eno 3aady ana msh rfdaah w f nfs el w2t matshdetsh awi el saraahaa
Bs ba2ool l nfsy awl maraa msh kfayaa khaals,Hwa ek walaad kways w ana mkntesh mdy2a mnooo khalss w knt mrtaha w ana a3da msh mtnshnaa khals
Bs f nfs el w2t hassa enyy 3aady,Blzbttt ana msh aayza atsaraaa3 l2ny still ma3rfooosh brdoo
Mama altlyy lw aayza tnzly tanyy enzlyy,Ahaaa tb3nn msh saaahl w dii haga kwayssa enoo msh motsaare3
W byfakaar b hdooo2,Ana walaahy asln msh bfkr fl mawdoo3 khaals bgd w zay ma tegy tegy elli rbnaa 3awzooo hykoon
aaaaa3,3ayza ashofek isa
:),:)
:),:)
:),:)
:),:)
:),:)
:),:)
mizz you moreee wallhy,laa ma 7'alsnaaah ba2aa :))
yes awel 3 monthes bs,I mizz uuuuuu
laaaa es2aliiiii,mn 3'er ay e7raaaag
3mla eeh fl wa7am ? :P,yala ask :D
Leh hwa lih moda mo3ayana w bye5las?,eh da..howa ana m2oltlhash??!!
eh da t7'yali shklo fe3lan m2oltsh,:)
yoooh!!,tab ana 7call her benafsy
tab ana 7klmha,:)
Hwa nty leeh ma2olteesh l roka 3l gom3a?,isa yekon yom 7elw
:),Ana ma2oltelhaash ma3rafsh soony aletlaha wla l2
:),IsAaaa :))
kalmthaaa ya samooor,w isa tegeee m3akom :))
Enty feen,Ana hena
Mamy kanet wa5da meny el mobile,Ma3lesh
La wla yehemk,Bt3mel eh
Tal3 l so5na,Tigy ana w 7ekmat w khalaf w nourhan
"Mayenfa3sh, 3andy dars w lazem azaker sat",Enty bet3mly eh
Wla 7aga,Enta bt3mel eh
Badwr f mall 3ala akl 3shan aftar w b3d keda haroo7 l so5na,Wa7shani
Enta kaman awyyy,:*
:*,Haha v for vendetta
Hwa enty konty eh,Hope solo
Bas eh ra2yak,I have the mask
Kont betekalem kteer awy,Asl mesh ana elly 3ml l power point
Meen,Wa7d sa7by 3shan ana kont mt25er fe t2demm l projects
Fa talabt menoh y3mlholy,Ya lahwy!
Bad boy,Kan 3ndy 7agat keter a3mlha
Eh ya3ny,Ya3ni kont 25ly 7ad y3mlholy wla as2t
:p,Ana Kont a3mlo
:*,:*
Enta feeen,Fel matar
Leh,Wenty
Ana fi 5etooba,Bageb wa7d sa7by lesa rag3
Men l sodan,Ahhhh mashy haha Sudan
Msh Kont raye7 el so5na today?,Aha mana ro7t w reg3t
L7e2t?,Aha
Hawryky l swer awl matgyly,Hatwareeni eh
L swr,Ahhhh wareeni
Awl matgyly,Ageelak feen?
Heya 3ala l camera bet3t hekmt,Mashyyyy okay
Did you have fun,Awiiiiii kanett 7lwaa awiiii
Ro7to feen?,Fel Sokhna
Amego,Hotel henak esmo amego
Kan 7lw?,Tegyly feenn ?!!
Hwa kan ba7r w picin bas,Kan 7lw
(Y),Wenty feen
Oltelak Ana f 5otooba,Magatlesh
Mmmm okay,Zakrty ll sat
Ahhhh shwaya,W shwaya bokra b2a
Mmmm,Hahahaha b2olak eh
Ollay a,Da5el el sat bokra
Aha,Wenty
Ahhh!!,3mlty eh enhrda
Wala 7aga,Zakert
Shwaya mesh awii,7let 20 question bas
:D,Wenty
Yaaraa,Ya yaraaa
Mamy kanet wa5da meny el mobile,Enta fenak yabni
Wa7ashtini awy,Wa anty wa7ashtini awiiiiii
Bt3ml ehhhh,Lasa sa7i man shwya
Mmmmm,Wa anty bat3maly a
Ana f dars estana,Oki
5alast!,:)
Ana kaman!,Enta feen
Lasa ma5las el dars,Enta da5el el sat Saturday
Ah,U
Ahhhh,7at3maly a bokra?
Hazaker!,Fashla 
La2!,Anty gamila
Enta aktar!,:)
<media omitted>,W di kaman
<media omitted>,Yala :D
Hahahaha dah math dah :D,Ahhhh
Bas number 15 msh 3arfa haha,Tab sanya kda afhamhom bas
Okay,16 7aletha kda
<media omitted>,Hya 15 B sa7 wala eh
7ad tany 2ali A,Mafish answers liha
Fi explanations,<media omitted>
Tab by2ol any wa7da,Read the explanation
"Ana el math el ana fahmo :D i cant put variables from my mind , enty 3ayza tigyby relation banhom bas bas bosy es2ly mikel a7san 3shan hwa yfham fy 7agat el SAT dy ana mafmsh fyh",W Yomna msh 3arfa 7aga 5alesssss 
Mana shyfha B bardo bas ana msh fahm 7aga fy el math bta3ko dah :D,Msh enta engineering wlaaaa eh haha
:D,Yabnty ah bas dah english msh math :D
La2 math haha bas math for smart people only ,Alaak b2a :P
Begad walahi :),:D
<media omitted>,Gebtaha :D
Ana ba3d keda hazakerlak math ,Hahaha bravo :D
Mostafa,<media omitted>
Tyb brb 3shan say2,Yala!
I think hatb2a A shofy kda sa7 ?,"Sa7, heya A, 7aletha ezay??"
Sawany hab3atlek ezay,Kont bakol
M3lsh,Law mafhmtsh mene l steps oleli
Fehmteha ??,Magetlish 7aga
:/,B3atha wallhi
Tani tayeb,Queued upload y3ani eih ? :D
<media omitted>,Msh fahma
Hahahha by2oli queued upload !! Mesh 3rf y3ani eih,FHMT!!!
Ya lahwy Ana 3'abeya awy hahaha,Hhahahhaa y3ani eih b2a :D
Enta gayb kam fel sat???,"620 , Reading 340:$ Writing 450."
Reading we7sha awy haha,Hatroo7 revision today?
Enta aslan da5el bokra,L2 ana sat. 2 isa bokra
Mana reading zeh2t mesh b3ala feh,Ana el opposite menak haha
Da5el what subjects bokra,Rabena m3ak
Haha,"Ana yabnty a5at m3 kol el modarsen 3shan 23la fel reading , w mab3lash"
Ahh isa :D,Hahaha ana 3yz ageeb 600 bas physics aslan zero score 450 haga kda
Bas enta zaki ya3ny f mat5afsh!!,Isa ;;)
Ana t3bt men el mozakra bas 3ayza azaker!!,Haha
Haha tyb yala asebek tezakry shwaya,Wenta kaman! Yala!
Mashy yala tyt,T3bt men el mozakra :D
Mesh aktar meni,Ana zakrt kter awii
Awel mara 23melha,Ya lahwy!!! Ye5rebetak
Hahaha,Tab good morning 7ata haha
Ahahhaha ana mesh shayf odamy aslan haha :D enty hatemt7ny feen,Wla Ana ta3bana awy
At st Fatima,Enta feen??
Ana St Peter el gamb bety :D,Mafesh makan fe st fatima
A7san bardo haha,Hahaha
Mostafa Ana ta3bana awyyyyy,Nayma 2!!!
Enty nemty el sa3a kam ?,W 2ele2t kda 3la 5:30
:O,Enty betst3abty
Lea nemty met25ar,Makontsh 3arfa anam 5alessss
